trial,max_attempts,pop_size,mutation_prob,best_fitness,time,iterations
0,1,50000,0.05,22.0,373.96778321266174,3
0,1,50000,0.1,18.0,241.00441122055054,2
0,1,50000,0.2,25.0,366.0111401081085,3
